state,residence,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,n5_state
36,Urban,dm_diagnosed,8.8,7.7,10,Proportion,"8.8 (7.7, 10)",8431,sex,Female,Telangana
36,Urban,dm_treated,8.2,7.1,9.3,Proportion,"8.2 (7.1, 9.3)",8431,sex,Female,Telangana
36,Urban,dm_controlled,5.2,4.3,6.1,Proportion,"5.2 (4.3, 6.1)",8431,sex,Female,Telangana
36,Urban,dm_screened,58.1,54.7,61.6,Proportion,"58.1 (54.7, 61.6)",7001,sex,Male,Telangana
36,Urban,dm_disease,13,11.7,14.4,Proportion,"13 (11.7, 14.4)",7001,sex,Male,Telangana
36,Urban,dm_diagnosed,10.1,9,11.3,Proportion,"10.1 (9, 11.3)",7001,sex,Male,Telangana
36,Urban,dm_treated,9.3,8.1,10.4,Proportion,"9.3 (8.1, 10.4)",7001,sex,Male,Telangana
36,Urban,dm_controlled,5.4,4.6,6.3,Proportion,"5.4 (4.6, 6.3)",7001,sex,Male,Telangana
37,Rural,dm_screened,58.1,51.9,64.3,Proportion,"58.1 (51.9, 64.3)",2136,sex,Female,Ladakh
37,Rural,dm_disease,6.2,2.7,9.8,Proportion,"6.2 (2.7, 9.8)",2136,sex,Female,Ladakh
37,Rural,dm_diagnosed,6.1,2.6,9.7,Proportion,"6.1 (2.6, 9.7)",2136,sex,Female,Ladakh
37,Rural,dm_treated,1.8,1.1,2.6,Proportion,"1.8 (1.1, 2.6)",2136,sex,Female,Ladakh
37,Rural,dm_controlled,1.3,0.7,1.9,Proportion,"1.3 (0.7, 1.9)",2136,sex,Female,Ladakh
37,Rural,dm_screened,49.6,43.5,55.8,Proportion,"49.6 (43.5, 55.8)",2260,sex,Male,Ladakh
37,Rural,dm_disease,6.7,3.5,10,Proportion,"6.7 (3.5, 10)",2260,sex,Male,Ladakh
37,Rural,dm_diagnosed,6.5,3.2,9.7,Proportion,"6.5 (3.2, 9.7)",2260,sex,Male,Ladakh
37,Rural,dm_treated,2.2,1.3,3.1,Proportion,"2.2 (1.3, 3.1)",2260,sex,Male,Ladakh
37,Rural,dm_controlled,1.4,0.7,2.1,Proportion,"1.4 (0.7, 2.1)",2260,sex,Male,Ladakh
37,Urban,dm_screened,61.9,50.6,73.2,Proportion,"61.9 (50.6, 73.2)",616,sex,Female,Ladakh
37,Urban,dm_disease,10.6,2.2,19,Proportion,"10.6 (2.2, 19)",616,sex,Female,Ladakh
37,Urban,dm_diagnosed,10.6,2.2,19,Proportion,"10.6 (2.2, 19)",616,sex,Female,Ladakh
37,Urban,dm_treated,2.2,0.5,3.9,Proportion,"2.2 (0.5, 3.9)",616,sex,Female,Ladakh
37,Urban,dm_controlled,1.6,0.5,2.7,Proportion,"1.6 (0.5, 2.7)",616,sex,Female,Ladakh
37,Urban,dm_screened,56,42.2,69.8,Proportion,"56 (42.2, 69.8)",646,sex,Male,Ladakh
37,Urban,dm_disease,9,0.3,17.8,Proportion,"9 (0.3, 17.8)",646,sex,Male,Ladakh
37,Urban,dm_diagnosed,8.7,-0,17.4,Proportion,"8.7 (0, 17.4)",646,sex,Male,Ladakh
37,Urban,dm_treated,1.7,0.2,3.1,Proportion,"1.7 (0.2, 3.1)",646,sex,Male,Ladakh
37,Urban,dm_controlled,1,-0.1,2.2,Proportion,"1 (-0.1, 2.2)",646,sex,Male,Ladakh
1,Rural,dm_screened,42,39.6,44.4,Proportion,"42 (39.6, 44.4)",23888,age_category,18-39,Jammu & Kashmir
1,Rural,dm_disease,1.7,1.3,2,Proportion,"1.7 (1.3, 2)",23888,age_category,18-39,Jammu & Kashmir
1,Rural,dm_diagnosed,1.5,1.2,1.8,Proportion,"1.5 (1.2, 1.8)",23888,age_category,18-39,Jammu & Kashmir
1,Rural,dm_treated,0.6,0.4,0.7,Proportion,"0.6 (0.4, 0.7)",23888,age_category,18-39,Jammu & Kashmir
1,Rural,dm_controlled,0.4,0.3,0.5,Proportion,"0.4 (0.3, 0.5)",23888,age_category,18-39,Jammu & Kashmir
1,Rural,dm_screened,63,60.5,65.4,Proportion,"63 (60.5, 65.4)",16645,age_category,40-64,Jammu & Kashmir
1,Rural,dm_disease,6.1,5.4,6.8,Proportion,"6.1 (5.4, 6.8)",16645,age_category,40-64,Jammu & Kashmir
1,Rural,dm_diagnosed,5.4,4.7,6,Proportion,"5.4 (4.7, 6)",16645,age_category,40-64,Jammu & Kashmir
1,Rural,dm_treated,3.3,2.8,3.8,Proportion,"3.3 (2.8, 3.8)",16645,age_category,40-64,Jammu & Kashmir
1,Rural,dm_controlled,2.5,2,2.9,Proportion,"2.5 (2, 2.9)",16645,age_category,40-64,Jammu & Kashmir
1,Rural,dm_screened,66.1,63,69.2,Proportion,"66.1 (63, 69.2)",3583,age_category,65 plus,Jammu & Kashmir
1,Rural,dm_disease,10,8.7,11.3,Proportion,"10 (8.7, 11.3)",3583,age_category,65 plus,Jammu & Kashmir
1,Rural,dm_diagnosed,8.8,7.5,10,Proportion,"8.8 (7.5, 10)",3583,age_category,65 plus,Jammu & Kashmir
1,Rural,dm_treated,6.2,5.2,7.1,Proportion,"6.2 (5.2, 7.1)",3583,age_category,65 plus,Jammu & Kashmir
1,Rural,dm_controlled,4.7,3.9,5.6,Proportion,"4.7 (3.9, 5.6)",3583,age_category,65 plus,Jammu & Kashmir
1,Urban,dm_screened,45.2,40.5,49.8,Proportion,"45.2 (40.5, 49.8)",5119,age_category,18-39,Jammu & Kashmir
1,Urban,dm_disease,1.6,1.2,2,Proportion,"1.6 (1.2, 2)",5119,age_category,18-39,Jammu & Kashmir
1,Urban,dm_diagnosed,1.4,1,1.8,Proportion,"1.4 (1, 1.8)",5119,age_category,18-39,Jammu & Kashmir
1,Urban,dm_treated,0.6,0.3,1,Proportion,"0.6 (0.3, 1)",5119,age_category,18-39,Jammu & Kashmir
1,Urban,dm_controlled,0.5,0.2,0.8,Proportion,"0.5 (0.2, 0.8)",5119,age_category,18-39,Jammu & Kashmir
1,Urban,dm_screened,67,62.3,71.8,Proportion,"67 (62.3, 71.8)",3929,age_category,40-64,Jammu & Kashmir
1,Urban,dm_disease,8.2,6.8,9.6,Proportion,"8.2 (6.8, 9.6)",3929,age_category,40-64,Jammu & Kashmir
1,Urban,dm_diagnosed,7.4,6,8.8,Proportion,"7.4 (6, 8.8)",3929,age_category,40-64,Jammu & Kashmir
1,Urban,dm_treated,4.6,3.6,5.7,Proportion,"4.6 (3.6, 5.7)",3929,age_category,40-64,Jammu & Kashmir
1,Urban,dm_controlled,3.1,2.3,4,Proportion,"3.1 (2.3, 4)",3929,age_category,40-64,Jammu & Kashmir
1,Urban,dm_screened,74.2,68.2,80.1,Proportion,"74.2 (68.2, 80.1)",887,age_category,65 plus,Jammu & Kashmir
1,Urban,dm_disease,11.1,7.8,14.4,Proportion,"11.1 (7.8, 14.4)",887,age_category,65 plus,Jammu & Kashmir
1,Urban,dm_diagnosed,10.8,7.5,14,Proportion,"10.8 (7.5, 14)",887,age_category,65 plus,Jammu & Kashmir
1,Urban,dm_treated,8.4,5.7,11,Proportion,"8.4 (5.7, 11)",887,age_category,65 plus,Jammu & Kashmir
1,Urban,dm_controlled,7,4.6,9.4,Proportion,"7 (4.6, 9.4)",887,age_category,65 plus,Jammu & Kashmir
2,Rural,dm_screened,41.4,39.2,43.6,Proportion,"41.4 (39.2, 43.6)",10625,age_category,18-39,Himachal Pradesh
2,Rural,dm_disease,1.6,1.2,2,Proportion,"1.6 (1.2, 2)",10625,age_category,18-39,Himachal Pradesh
2,Rural,dm_diagnosed,1.2,0.8,1.6,Proportion,"1.2 (0.8, 1.6)",10625,age_category,18-39,Himachal Pradesh
2,Rural,dm_treated,0.3,0.2,0.4,Proportion,"0.3 (0.2, 0.4)",10625,age_category,18-39,Himachal Pradesh
2,Rural,dm_controlled,0.2,0.1,0.3,Proportion,"0.2 (0.1, 0.3)",10625,age_category,18-39,Himachal Pradesh
2,Rural,dm_screened,57.3,54.7,59.8,Proportion,"57.3 (54.7, 59.8)",10762,age_category,40-64,Himachal Pradesh
2,Rural,dm_disease,8.2,7.3,9.1,Proportion,"8.2 (7.3, 9.1)",10762,age_category,40-64,Himachal Pradesh
2,Rural,dm_diagnosed,6.2,5.4,6.9,Proportion,"6.2 (5.4, 6.9)",10762,age_category,40-64,Himachal Pradesh
2,Rural,dm_treated,4.1,3.5,4.7,Proportion,"4.1 (3.5, 4.7)",10762,age_category,40-64,Himachal Pradesh
2,Rural,dm_controlled,2.1,1.7,2.5,Proportion,"2.1 (1.7, 2.5)",10762,age_category,40-64,Himachal Pradesh
2,Rural,dm_screened,61.9,58.9,64.8,Proportion,"61.9 (58.9, 64.8)",3582,age_category,65 plus,Himachal Pradesh
2,Rural,dm_disease,13.9,12,15.8,Proportion,"13.9 (12, 15.8)",3582,age_category,65 plus,Himachal Pradesh
2,Rural,dm_diagnosed,10.6,9.1,12.1,Proportion,"10.6 (9.1, 12.1)",3582,age_category,65 plus,Himachal Pradesh
2,Rural,dm_treated,7.4,6.2,8.6,Proportion,"7.4 (6.2, 8.6)",3582,age_category,65 plus,Himachal Pradesh
2,Rural,dm_controlled,4.6,3.7,5.5,Proportion,"4.6 (3.7, 5.5)",3582,age_category,65 plus,Himachal Pradesh
2,Urban,dm_screened,45.1,40,50.3,Proportion,"45.1 (40, 50.3)",1000,age_category,18-39,Himachal Pradesh
2,Urban,dm_disease,2,0.9,3.2,Proportion,"2 (0.9, 3.2)",1000,age_category,18-39,Himachal Pradesh
2,Urban,dm_diagnosed,1.4,0.6,2.3,Proportion,"1.4 (0.6, 2.3)",1000,age_category,18-39,Himachal Pradesh
2,Urban,dm_treated,0.6,0.1,1.1,Proportion,"0.6 (0.1, 1.1)",1000,age_category,18-39,Himachal Pradesh
2,Urban,dm_controlled,0.1,-0,0.3,Proportion,"0.1 (0, 0.3)",1000,age_category,18-39,Himachal Pradesh
2,Urban,dm_screened,67.9,61.8,74,Proportion,"67.9 (61.8, 74)",872,age_category,40-64,Himachal Pradesh
2,Urban,dm_disease,10.7,7.8,13.5,Proportion,"10.7 (7.8, 13.5)",872,age_category,40-64,Himachal Pradesh
2,Urban,dm_diagnosed,8.8,6.5,11.2,Proportion,"8.8 (6.5, 11.2)",872,age_category,40-64,Himachal Pradesh
2,Urban,dm_treated,7.3,5.3,9.3,Proportion,"7.3 (5.3, 9.3)",872,age_category,40-64,Himachal Pradesh
2,Urban,dm_controlled,4.9,3.1,6.8,Proportion,"4.9 (3.1, 6.8)",872,age_category,40-64,Himachal Pradesh
2,Urban,dm_screened,80.7,71.7,89.6,Proportion,"80.7 (71.7, 89.6)",215,age_category,65 plus,Himachal Pradesh
2,Urban,dm_disease,20.3,14,26.5,Proportion,"20.3 (14, 26.5)",215,age_category,65 plus,Himachal Pradesh
2,Urban,dm_diagnosed,18,11.9,24.1,Proportion,"18 (11.9, 24.1)",215,age_category,65 plus,Himachal Pradesh
2,Urban,dm_treated,15.8,10.4,21.2,Proportion,"15.8 (10.4, 21.2)",215,age_category,65 plus,Himachal Pradesh
2,Urban,dm_controlled,10.5,6.3,14.8,Proportion,"10.5 (6.3, 14.8)",215,age_category,65 plus,Himachal Pradesh
3,Rural,dm_screened,39.8,37.3,42.3,Proportion,"39.8 (37.3, 42.3)",17434,age_category,18-39,Punjab
3,Rural,dm_disease,2,1.7,2.2,Proportion,"2 (1.7, 2.2)",17434,age_category,18-39,Punjab
3,Rural,dm_diagnosed,1.4,1.1,1.6,Proportion,"1.4 (1.1, 1.6)",17434,age_category,18-39,Punjab
3,Rural,dm_treated,0.6,0.5,0.7,Proportion,"0.6 (0.5, 0.7)",17434,age_category,18-39,Punjab
3,Rural,dm_controlled,0.3,0.2,0.3,Proportion,"0.3 (0.2, 0.3)",17434,age_category,18-39,Punjab
3,Rural,dm_screened,60.2,57.9,62.6,Proportion,"60.2 (57.9, 62.6)",12745,age_category,40-64,Punjab
3,Rural,dm_disease,9.9,9.2,10.6,Proportion,"9.9 (9.2, 10.6)",12745,age_category,40-64,Punjab
3,Rural,dm_diagnosed,7.1,6.5,7.7,Proportion,"7.1 (6.5, 7.7)",12745,age_category,40-64,Punjab
3,Rural,dm_treated,5.2,4.7,5.7,Proportion,"5.2 (4.7, 5.7)",12745,age_category,40-64,Punjab
3,Rural,dm_controlled,2.1,1.8,2.4,Proportion,"2.1 (1.8, 2.4)",12745,age_category,40-64,Punjab
3,Rural,dm_screened,67,64.5,69.5,Proportion,"67 (64.5, 69.5)",4415,age_category,65 plus,Punjab
3,Rural,dm_disease,15,13.7,16.3,Proportion,"15 (13.7, 16.3)",4415,age_category,65 plus,Punjab
3,Rural,dm_diagnosed,11.8,10.6,12.9,Proportion,"11.8 (10.6, 12.9)",4415,age_category,65 plus,Punjab
3,Rural,dm_treated,9.6,8.5,10.6,Proportion,"9.6 (8.5, 10.6)",4415,age_category,65 plus,Punjab
3,Rural,dm_controlled,4.1,3.4,4.8,Proportion,"4.1 (3.4, 4.8)",4415,age_category,65 plus,Punjab
3,Urban,dm_screened,44.8,41.1,48.4,Proportion,"44.8 (41.1, 48.4)",7541,age_category,18-39,Punjab
3,Urban,dm_disease,1.8,1.4,2.3,Proportion,"1.8 (1.4, 2.3)",7541,age_category,18-39,Punjab
3,Urban,dm_diagnosed,1.2,0.8,1.6,Proportion,"1.2 (0.8, 1.6)",7541,age_category,18-39,Punjab
3,Urban,dm_treated,0.5,0.3,0.7,Proportion,"0.5 (0.3, 0.7)",7541,age_category,18-39,Punjab
3,Urban,dm_controlled,0.3,0.1,0.5,Proportion,"0.3 (0.1, 0.5)",7541,age_category,18-39,Punjab
3,Urban,dm_screened,69.8,66.6,73,Proportion,"69.8 (66.6, 73)",5876,age_category,40-64,Punjab
3,Urban,dm_disease,13.3,12,14.5,Proportion,"13.3 (12, 14.5)",5876,age_category,40-64,Punjab
3,Urban,dm_diagnosed,10,8.8,11.2,Proportion,"10 (8.8, 11.2)",5876,age_category,40-64,Punjab
3,Urban,dm_treated,8.1,7.1,9.1,Proportion,"8.1 (7.1, 9.1)",5876,age_category,40-64,Punjab
3,Urban,dm_controlled,3.2,2.6,3.7,Proportion,"3.2 (2.6, 3.7)",5876,age_category,40-64,Punjab
3,Urban,dm_screened,82.1,79,85.2,Proportion,"82.1 (79, 85.2)",1792,age_category,65 plus,Punjab
3,Urban,dm_disease,20.4,17.3,23.4,Proportion,"20.4 (17.3, 23.4)",1792,age_category,65 plus,Punjab
3,Urban,dm_diagnosed,16.9,14.1,19.8,Proportion,"16.9 (14.1, 19.8)",1792,age_category,65 plus,Punjab
3,Urban,dm_treated,14.1,11.5,16.6,Proportion,"14.1 (11.5, 16.6)",1792,age_category,65 plus,Punjab
3,Urban,dm_controlled,6.4,4.8,8,Proportion,"6.4 (4.8, 8)",1792,age_category,65 plus,Punjab
4,Rural,dm_screened,53.6,53.6,53.6,Proportion,"53.6 (53.6, 53.6)",28,age_category,18-39,Chandigarh
4,Rural,dm_disease,7.1,7.1,7.1,Proportion,"7.1 (7.1, 7.1)",28,age_category,18-39,Chandigarh
4,Rural,dm_diagnosed,3.6,3.6,3.6,Proportion,"3.6 (3.6, 3.6)",28,age_category,18-39,Chandigarh
4,Rural,dm_treated,3.6,3.6,3.6,Proportion,"3.6 (3.6, 3.6)",28,age_category,18-39,Chandigarh
4,Rural,dm_controlled,3.6,3.6,3.6,Proportion,"3.6 (3.6, 3.6)",28,age_category,18-39,Chandigarh
4,Rural,dm_screened,46.2,46.2,46.2,Proportion,"46.2 (46.2, 46.2)",13,age_category,40-64,Chandigarh
4,Rural,dm_disease,7.7,7.7,7.7,Proportion,"7.7 (7.7, 7.7)",13,age_category,40-64,Chandigarh
4,Rural,dm_diagnosed,0,0,0,Proportion,"0 (0, 0)",13,age_category,40-64,Chandigarh
4,Rural,dm_treated,0,0,0,Proportion,"0 (0, 0)",13,age_category,40-64,Chandigarh
4,Rural,dm_controlled,0,0,0,Proportion,"0 (0, 0)",13,age_category,40-64,Chandigarh
4,Rural,dm_screened,66.7,66.7,66.7,Proportion,"66.7 (66.7, 66.7)",3,age_category,65 plus,Chandigarh
4,Rural,dm_disease,66.7,66.7,66.7,Proportion,"66.7 (66.7, 66.7)",3,age_category,65 plus,Chandigarh
4,Rural,dm_diagnosed,66.7,66.7,66.7,Proportion,"66.7 (66.7, 66.7)",3,age_category,65 plus,Chandigarh
4,Rural,dm_treated,66.7,66.7,66.7,Proportion,"66.7 (66.7, 66.7)",3,age_category,65 plus,Chandigarh
4,Rural,dm_controlled,66.7,66.7,66.7,Proportion,"66.7 (66.7, 66.7)",3,age_category,65 plus,Chandigarh
4,Urban,dm_screened,52,43.1,60.9,Proportion,"52 (43.1, 60.9)",696,age_category,18-39,Chandigarh
4,Urban,dm_disease,2.8,1.4,4.2,Proportion,"2.8 (1.4, 4.2)",696,age_category,18-39,Chandigarh
4,Urban,dm_diagnosed,1.4,0.4,2.4,Proportion,"1.4 (0.4, 2.4)",696,age_category,18-39,Chandigarh
4,Urban,dm_treated,1.2,0.4,2,Proportion,"1.2 (0.4, 2)",696,age_category,18-39,Chandigarh
4,Urban,dm_controlled,0.6,0,1.3,Proportion,"0.6 (0, 1.3)",696,age_category,18-39,Chandigarh
4,Urban,dm_screened,73.1,64.9,81.3,Proportion,"73.1 (64.9, 81.3)",480,age_category,40-64,Chandigarh
4,Urban,dm_disease,17.7,13.4,21.9,Proportion,"17.7 (13.4, 21.9)",480,age_category,40-64,Chandigarh
4,Urban,dm_diagnosed,13.7,9.9,17.5,Proportion,"13.7 (9.9, 17.5)",480,age_category,40-64,Chandigarh
4,Urban,dm_treated,11.6,7.9,15.3,Proportion,"11.6 (7.9, 15.3)",480,age_category,40-64,Chandigarh
4,Urban,dm_controlled,4.2,2,6.4,Proportion,"4.2 (2, 6.4)",480,age_category,40-64,Chandigarh
4,Urban,dm_screened,85.5,77.7,93.3,Proportion,"85.5 (77.7, 93.3)",131,age_category,65 plus,Chandigarh
4,Urban,dm_disease,18.1,12.5,23.8,Proportion,"18.1 (12.5, 23.8)",131,age_category,65 plus,Chandigarh
4,Urban,dm_diagnosed,15.5,10,21.1,Proportion,"15.5 (10, 21.1)",131,age_category,65 plus,Chandigarh
4,Urban,dm_treated,14.2,8.5,19.8,Proportion,"14.2 (8.5, 19.8)",131,age_category,65 plus,Chandigarh
4,Urban,dm_controlled,8.9,4,13.8,Proportion,"8.9 (4, 13.8)",131,age_category,65 plus,Chandigarh
5,Rural,dm_screened,28,25.4,30.6,Proportion,"28 (25.4, 30.6)",10622,age_category,18-39,Uttarakhand
5,Rural,dm_disease,1.6,1.2,2,Proportion,"1.6 (1.2, 2)",10622,age_category,18-39,Uttarakhand
5,Rural,dm_diagnosed,1.1,0.8,1.5,Proportion,"1.1 (0.8, 1.5)",10622,age_category,18-39,Uttarakhand
5,Rural,dm_treated,0.5,0.3,0.6,Proportion,"0.5 (0.3, 0.6)",10622,age_category,18-39,Uttarakhand
5,Rural,dm_controlled,0.2,0.1,0.4,Proportion,"0.2 (0.1, 0.4)",10622,age_category,18-39,Uttarakhand
5,Rural,dm_screened,39.2,36.2,42.3,Proportion,"39.2 (36.2, 42.3)",9123,age_category,40-64,Uttarakhand
5,Rural,dm_disease,7.9,7,8.8,Proportion,"7.9 (7, 8.8)",9123,age_category,40-64,Uttarakhand
5,Rural,dm_diagnosed,5.6,4.9,6.4,Proportion,"5.6 (4.9, 6.4)",9123,age_category,40-64,Uttarakhand
5,Rural,dm_treated,3.7,3.1,4.2,Proportion,"3.7 (3.1, 4.2)",9123,age_category,40-64,Uttarakhand
5,Rural,dm_controlled,1.6,1.2,2,Proportion,"1.6 (1.2, 2)",9123,age_category,40-64,Uttarakhand
5,Rural,dm_screened,44.4,41,47.8,Proportion,"44.4 (41, 47.8)",3183,age_category,65 plus,Uttarakhand
5,Rural,dm_disease,9.9,8.3,11.5,Proportion,"9.9 (8.3, 11.5)",3183,age_category,65 plus,Uttarakhand
5,Rural,dm_diagnosed,7.6,6.3,8.9,Proportion,"7.6 (6.3, 8.9)",3183,age_category,65 plus,Uttarakhand
5,Rural,dm_treated,5.5,4.3,6.8,Proportion,"5.5 (4.3, 6.8)",3183,age_category,65 plus,Uttarakhand
5,Rural,dm_controlled,3,2.1,4,Proportion,"3 (2.1, 4)",3183,age_category,65 plus,Uttarakhand
5,Urban,dm_screened,36.6,31.3,41.9,Proportion,"36.6 (31.3, 41.9)",2596,age_category,18-39,Uttarakhand
5,Urban,dm_disease,3.1,2.1,4.1,Proportion,"3.1 (2.1, 4.1)",2596,age_category,18-39,Uttarakhand
5,Urban,dm_diagnosed,1.7,1,2.4,Proportion,"1.7 (1, 2.4)",2596,age_category,18-39,Uttarakhand
5,Urban,dm_treated,1,0.5,1.5,Proportion,"1 (0.5, 1.5)",2596,age_category,18-39,Uttarakhand
5,Urban,dm_controlled,0.7,0.3,1.2,Proportion,"0.7 (0.3, 1.2)",2596,age_category,18-39,Uttarakhand
5,Urban,dm_screened,63,57.8,68.3,Proportion,"63 (57.8, 68.3)",1829,age_category,40-64,Uttarakhand
5,Urban,dm_disease,15.5,13.5,17.5,Proportion,"15.5 (13.5, 17.5)",1829,age_category,40-64,Uttarakhand
5,Urban,dm_diagnosed,12.2,10.1,14.2,Proportion,"12.2 (10.1, 14.2)",1829,age_category,40-64,Uttarakhand
5,Urban,dm_treated,8.8,7.1,10.5,Proportion,"8.8 (7.1, 10.5)",1829,age_category,40-64,Uttarakhand
5,Urban,dm_controlled,4,2.9,5.2,Proportion,"4 (2.9, 5.2)",1829,age_category,40-64,Uttarakhand
5,Urban,dm_screened,68.8,63.1,74.6,Proportion,"68.8 (63.1, 74.6)",463,age_category,65 plus,Uttarakhand
5,Urban,dm_disease,23.6,19.4,27.8,Proportion,"23.6 (19.4, 27.8)",463,age_category,65 plus,Uttarakhand
5,Urban,dm_diagnosed,20.7,16.6,24.8,Proportion,"20.7 (16.6, 24.8)",463,age_category,65 plus,Uttarakhand
5,Urban,dm_treated,18.6,14.7,22.5,Proportion,"18.6 (14.7, 22.5)",463,age_category,65 plus,Uttarakhand
5,Urban,dm_controlled,13.9,10.3,17.5,Proportion,"13.9 (10.3, 17.5)",463,age_category,65 plus,Uttarakhand
6,Rural,dm_screened,33.2,31.5,34.9,Proportion,"33.2 (31.5, 34.9)",18191,age_category,18-39,Haryana
6,Rural,dm_disease,2.1,1.8,2.5,Proportion,"2.1 (1.8, 2.5)",18191,age_category,18-39,Haryana
6,Rural,dm_diagnosed,1.6,1.3,1.9,Proportion,"1.6 (1.3, 1.9)",18191,age_category,18-39,Haryana
6,Rural,dm_treated,0.4,0.3,0.5,Proportion,"0.4 (0.3, 0.5)",18191,age_category,18-39,Haryana
6,Rural,dm_controlled,0.2,0.1,0.3,Proportion,"0.2 (0.1, 0.3)",18191,age_category,18-39,Haryana
6,Rural,dm_screened,48.2,46.2,50.2,Proportion,"48.2 (46.2, 50.2)",12372,age_category,40-64,Haryana
6,Rural,dm_disease,7.9,7.2,8.7,Proportion,"7.9 (7.2, 8.7)",12372,age_category,40-64,Haryana
6,Rural,dm_diagnosed,5.5,4.8,6.1,Proportion,"5.5 (4.8, 6.1)",12372,age_category,40-64,Haryana
6,Rural,dm_treated,3.2,2.8,3.6,Proportion,"3.2 (2.8, 3.6)",12372,age_category,40-64,Haryana
6,Rural,dm_controlled,1.5,1.2,1.7,Proportion,"1.5 (1.2, 1.7)",12372,age_category,40-64,Haryana
6,Rural,dm_screened,53,50.5,55.5,Proportion,"53 (50.5, 55.5)",3936,age_category,65 plus,Haryana
6,Rural,dm_disease,11.3,10.1,12.5,Proportion,"11.3 (10.1, 12.5)",3936,age_category,65 plus,Haryana
6,Rural,dm_diagnosed,8,6.9,9.1,Proportion,"8 (6.9, 9.1)",3936,age_category,65 plus,Haryana
6,Rural,dm_treated,5,4.2,5.8,Proportion,"5 (4.2, 5.8)",3936,age_category,65 plus,Haryana
6,Rural,dm_controlled,1.9,1.4,2.3,Proportion,"1.9 (1.4, 2.3)",3936,age_category,65 plus,Haryana
6,Urban,dm_screened,38,35.2,40.7,Proportion,"38 (35.2, 40.7)",7820,age_category,18-39,Haryana
6,Urban,dm_disease,2.2,1.7,2.7,Proportion,"2.2 (1.7, 2.7)",7820,age_category,18-39,Haryana
6,Urban,dm_diagnosed,1.8,1.3,2.3,Proportion,"1.8 (1.3, 2.3)",7820,age_category,18-39,Haryana
6,Urban,dm_treated,0.5,0.3,0.6,Proportion,"0.5 (0.3, 0.6)",7820,age_category,18-39,Haryana
6,Urban,dm_controlled,0.3,0.2,0.4,Proportion,"0.3 (0.2, 0.4)",7820,age_category,18-39,Haryana
6,Urban,dm_screened,63.2,60.3,66,Proportion,"63.2 (60.3, 66)",5701,age_category,40-64,Haryana
6,Urban,dm_disease,12.9,11.6,14.3,Proportion,"12.9 (11.6, 14.3)",5701,age_category,40-64,Haryana
6,Urban,dm_diagnosed,10.4,9.1,11.7,Proportion,"10.4 (9.1, 11.7)",5701,age_category,40-64,Haryana
6,Urban,dm_treated,6.6,5.8,7.3,Proportion,"6.6 (5.8, 7.3)",5701,age_category,40-64,Haryana
6,Urban,dm_controlled,3,2.6,3.5,Proportion,"3 (2.6, 3.5)",5701,age_category,40-64,Haryana
6,Urban,dm_screened,73.6,70,77.1,Proportion,"73.6 (70, 77.1)",1421,age_category,65 plus,Haryana
6,Urban,dm_disease,22.5,19,26.1,Proportion,"22.5 (19, 26.1)",1421,age_category,65 plus,Haryana
6,Urban,dm_diagnosed,19.7,16.4,23,Proportion,"19.7 (16.4, 23)",1421,age_category,65 plus,Haryana
6,Urban,dm_treated,12.8,10.8,14.8,Proportion,"12.8 (10.8, 14.8)",1421,age_category,65 plus,Haryana
6,Urban,dm_controlled,8.1,6.4,9.9,Proportion,"8.1 (6.4, 9.9)",1421,age_category,65 plus,Haryana
7,Rural,dm_screened,63.1,47.6,78.6,Proportion,"63.1 (47.6, 78.6)",508,age_category,18-39,Nct Of Delhi
7,Rural,dm_disease,1.5,-0.2,3.3,Proportion,"1.5 (-0.2, 3.3)",508,age_category,18-39,Nct Of Delhi
7,Rural,dm_diagnosed,1.1,-0.6,2.9,Proportion,"1.1 (-0.6, 2.9)",508,age_category,18-39,Nct Of Delhi
7,Rural,dm_treated,0.6,-0.3,1.5,Proportion,"0.6 (-0.3, 1.5)",508,age_category,18-39,Nct Of Delhi
7,Rural,dm_controlled,0.6,-0.3,1.5,Proportion,"0.6 (-0.3, 1.5)",508,age_category,18-39,Nct Of Delhi
7,Rural,dm_screened,78.7,66.9,90.5,Proportion,"78.7 (66.9, 90.5)",248,age_category,40-64,Nct Of Delhi
7,Rural,dm_disease,12.4,2.9,21.9,Proportion,"12.4 (2.9, 21.9)",248,age_category,40-64,Nct Of Delhi
7,Rural,dm_diagnosed,10.8,2.4,19.1,Proportion,"10.8 (2.4, 19.1)",248,age_category,40-64,Nct Of Delhi
7,Rural,dm_treated,8.2,2,14.3,Proportion,"8.2 (2, 14.3)",248,age_category,40-64,Nct Of Delhi
7,Rural,dm_controlled,5.1,-1.3,11.6,Proportion,"5.1 (-1.3, 11.6)",248,age_category,40-64,Nct Of Delhi
7,Rural,dm_screened,89.8,81.9,97.8,Proportion,"89.8 (81.9, 97.8)",64,age_category,65 plus,Nct Of Delhi
7,Rural,dm_disease,17.9,3.3,32.5,Proportion,"17.9 (3.3, 32.5)",64,age_category,65 plus,Nct Of Delhi
7,Rural,dm_diagnosed,8.8,-5.2,22.7,Proportion,"8.8 (-5.2, 22.7)",64,age_category,65 plus,Nct Of Delhi
7,Rural,dm_treated,8.8,-5.2,22.7,Proportion,"8.8 (-5.2, 22.7)",64,age_category,65 plus,Nct Of Delhi
