Level1,Level2,Level3,Level4,Level5,ST_NM,estimate,lci,uci,est_ci,nfhs5_statecode,nfhs5_statename
Crude,Rural,Treated,Age Category,65 plus,Punjab,81.4,77.1,85.8,"81.4 (77.1, 85.8)",3,Punjab
Crude,Rural,Controlled,Age Category,65 plus,Punjab,43.1,37.8,48.4,"43.1 (37.8, 48.4)",3,Punjab
Crude,Urban,Treated,Age Category,18-39,Punjab,39.7,26.1,53.3,"39.7 (26.1, 53.3)",3,Punjab
Crude,Urban,Controlled,Age Category,18-39,Punjab,75.3,65.1,85.4,"75.3 (65.1, 85.4)",3,Punjab
Crude,Urban,Treated,Age Category,40-64,Punjab,81.1,76.9,85.4,"81.1 (76.9, 85.4)",3,Punjab
Crude,Urban,Controlled,Age Category,40-64,Punjab,38.5,33.3,43.7,"38.5 (33.3, 43.7)",3,Punjab
Crude,Urban,Treated,Age Category,65 plus,Punjab,83,77.8,88.3,"83 (77.8, 88.3)",3,Punjab
Crude,Urban,Controlled,Age Category,65 plus,Punjab,46.7,38.6,54.7,"46.7 (38.6, 54.7)",3,Punjab
Crude,Rural,Treated,Age Category,18-39,Chandigarh,100,100,100,"100 (100, 100)",4,Chandigarh
Crude,Rural,Controlled,Age Category,18-39,Chandigarh,0,0,0,"0 (0, 0)",4,Chandigarh
Crude,Rural,Treated,Age Category,65 plus,Chandigarh,100,100,100,"100 (100, 100)",4,Chandigarh
Crude,Rural,Controlled,Age Category,65 plus,Chandigarh,50,50,50,"50 (50, 50)",4,Chandigarh
Crude,Urban,Treated,Age Category,18-39,Chandigarh,85.3,63.1,107.4,"85.3 (63.1, 107.4)",4,Chandigarh
Crude,Urban,Controlled,Age Category,18-39,Chandigarh,24.8,0.4,49.1,"24.8 (0.4, 49.1)",4,Chandigarh
Crude,Urban,Treated,Age Category,40-64,Chandigarh,84.6,75.6,93.5,"84.6 (75.6, 93.5)",4,Chandigarh
Crude,Urban,Controlled,Age Category,40-64,Chandigarh,36.7,25.2,48.2,"36.7 (25.2, 48.2)",4,Chandigarh
Crude,Urban,Treated,Age Category,65 plus,Chandigarh,91.2,79.4,103,"91.2 (79.4, 103)",4,Chandigarh
Crude,Urban,Controlled,Age Category,65 plus,Chandigarh,45.8,20.4,71.1,"45.8 (20.4, 71.1)",4,Chandigarh
Crude,Rural,Treated,Age Category,18-39,Uttarakhand,39.5,26.2,52.7,"39.5 (26.2, 52.7)",5,Uttarakhand
Crude,Rural,Controlled,Age Category,18-39,Uttarakhand,73.7,63,84.5,"73.7 (63, 84.5)",5,Uttarakhand
Crude,Rural,Treated,Age Category,40-64,Uttarakhand,65.2,59.8,70.6,"65.2 (59.8, 70.6)",5,Uttarakhand
Crude,Rural,Controlled,Age Category,40-64,Uttarakhand,47.2,40.5,53.9,"47.2 (40.5, 53.9)",5,Uttarakhand
Crude,Rural,Treated,Age Category,65 plus,Uttarakhand,73,65.3,80.7,"73 (65.3, 80.7)",5,Uttarakhand
Crude,Rural,Controlled,Age Category,65 plus,Uttarakhand,57.9,49.8,66.1,"57.9 (49.8, 66.1)",5,Uttarakhand
Crude,Urban,Treated,Age Category,18-39,Uttarakhand,57.3,35.4,79.2,"57.3 (35.4, 79.2)",5,Uttarakhand
Crude,Urban,Controlled,Age Category,18-39,Uttarakhand,62,43.2,80.9,"62 (43.2, 80.9)",5,Uttarakhand
Crude,Urban,Treated,Age Category,40-64,Uttarakhand,72.2,63.8,80.6,"72.2 (63.8, 80.6)",5,Uttarakhand
Crude,Urban,Controlled,Age Category,40-64,Uttarakhand,47.9,38.2,57.6,"47.9 (38.2, 57.6)",5,Uttarakhand
Crude,Urban,Treated,Age Category,65 plus,Uttarakhand,89.8,81.8,97.8,"89.8 (81.8, 97.8)",5,Uttarakhand
Crude,Urban,Controlled,Age Category,65 plus,Uttarakhand,65.9,54.9,76.9,"65.9 (54.9, 76.9)",5,Uttarakhand
Crude,Rural,Treated,Age Category,18-39,Haryana,26.2,19.3,33.1,"26.2 (19.3, 33.1)",6,Haryana
Crude,Rural,Controlled,Age Category,18-39,Haryana,85.3,80.3,90.3,"85.3 (80.3, 90.3)",6,Haryana
Crude,Rural,Treated,Age Category,40-64,Haryana,58.8,52.9,64.8,"58.8 (52.9, 64.8)",6,Haryana
Crude,Rural,Controlled,Age Category,40-64,Haryana,54.9,49.5,60.2,"54.9 (49.5, 60.2)",6,Haryana
Crude,Rural,Treated,Age Category,65 plus,Haryana,62.3,55.2,69.4,"62.3 (55.2, 69.4)",6,Haryana
Crude,Rural,Controlled,Age Category,65 plus,Haryana,48.7,41.7,55.6,"48.7 (41.7, 55.6)",6,Haryana
Crude,Urban,Treated,Age Category,18-39,Haryana,26.6,17.9,35.3,"26.6 (17.9, 35.3)",6,Haryana
Crude,Urban,Controlled,Age Category,18-39,Haryana,81.3,73.6,88.9,"81.3 (73.6, 88.9)",6,Haryana
Crude,Urban,Treated,Age Category,40-64,Haryana,63.3,57.4,69.2,"63.3 (57.4, 69.2)",6,Haryana
Crude,Urban,Controlled,Age Category,40-64,Haryana,53.8,49.2,58.4,"53.8 (49.2, 58.4)",6,Haryana
Crude,Urban,Treated,Age Category,65 plus,Haryana,65,55.9,74.1,"65 (55.9, 74.1)",6,Haryana
Crude,Urban,Controlled,Age Category,65 plus,Haryana,62,54.8,69.3,"62 (54.8, 69.3)",6,Haryana
Crude,Rural,Treated,Age Category,18-39,Delhi,57.1,40.2,74,"57.1 (40.2, 74)",7,Nct Of Delhi
Crude,Rural,Controlled,Age Category,18-39,Delhi,100,100,100,"100 (100, 100)",7,Nct Of Delhi
Crude,Rural,Treated,Age Category,40-64,Delhi,75.9,57.5,94.3,"75.9 (57.5, 94.3)",7,Nct Of Delhi
Crude,Rural,Controlled,Age Category,40-64,Delhi,68.4,23.9,112.9,"68.4 (23.9, 112.9)",7,Nct Of Delhi
Crude,Rural,Treated,Age Category,65 plus,Delhi,100,100,100,"100 (100, 100)",7,Nct Of Delhi
Crude,Rural,Controlled,Age Category,65 plus,Delhi,96.6,88.3,105,"96.6 (88.3, 105)",7,Nct Of Delhi
Crude,Urban,Treated,Age Category,18-39,Delhi,65,57.7,72.3,"65 (57.7, 72.3)",7,Nct Of Delhi
Crude,Urban,Controlled,Age Category,18-39,Delhi,61.5,53.9,69.1,"61.5 (53.9, 69.1)",7,Nct Of Delhi
Crude,Urban,Treated,Age Category,40-64,Delhi,86.7,83.4,90,"86.7 (83.4, 90)",7,Nct Of Delhi
Crude,Urban,Controlled,Age Category,40-64,Delhi,50.7,46.8,54.7,"50.7 (46.8, 54.7)",7,Nct Of Delhi
Crude,Urban,Treated,Age Category,65 plus,Delhi,89.2,85.6,92.8,"89.2 (85.6, 92.8)",7,Nct Of Delhi
Crude,Urban,Controlled,Age Category,65 plus,Delhi,58,51.4,64.5,"58 (51.4, 64.5)",7,Nct Of Delhi
Crude,Rural,Treated,Age Category,18-39,Rajasthan,29.6,21.6,37.6,"29.6 (21.6, 37.6)",8,Rajasthan
Crude,Rural,Controlled,Age Category,18-39,Rajasthan,88.8,84.6,93.1,"88.8 (84.6, 93.1)",8,Rajasthan
Crude,Rural,Treated,Age Category,40-64,Rajasthan,47.6,41.3,53.9,"47.6 (41.3, 53.9)",8,Rajasthan
Crude,Rural,Controlled,Age Category,40-64,Rajasthan,67,62,72.1,"67 (62, 72.1)",8,Rajasthan
Crude,Rural,Treated,Age Category,65 plus,Rajasthan,62.8,56.4,69.2,"62.8 (56.4, 69.2)",8,Rajasthan
Crude,Rural,Controlled,Age Category,65 plus,Rajasthan,59.4,52.7,66.1,"59.4 (52.7, 66.1)",8,Rajasthan
Crude,Urban,Treated,Age Category,18-39,Rajasthan,27.5,16.1,38.8,"27.5 (16.1, 38.8)",8,Rajasthan
Crude,Urban,Controlled,Age Category,18-39,Rajasthan,90.3,83.6,97,"90.3 (83.6, 97)",8,Rajasthan
Crude,Urban,Treated,Age Category,40-64,Rajasthan,56.4,47.3,65.4,"56.4 (47.3, 65.4)",8,Rajasthan
Crude,Urban,Controlled,Age Category,40-64,Rajasthan,72,66.6,77.3,"72 (66.6, 77.3)",8,Rajasthan
Crude,Urban,Treated,Age Category,65 plus,Rajasthan,68.8,58.8,78.8,"68.8 (58.8, 78.8)",8,Rajasthan
Crude,Urban,Controlled,Age Category,65 plus,Rajasthan,67.4,59.4,75.4,"67.4 (59.4, 75.4)",8,Rajasthan
Crude,Rural,Treated,Age Category,18-39,Uttar Pradesh,20.1,16.8,23.3,"20.1 (16.8, 23.3)",9,Uttar Pradesh
Crude,Rural,Controlled,Age Category,18-39,Uttar Pradesh,92.3,90.4,94.2,"92.3 (90.4, 94.2)",9,Uttar Pradesh
Crude,Rural,Treated,Age Category,40-64,Uttar Pradesh,41.2,37.8,44.5,"41.2 (37.8, 44.5)",9,Uttar Pradesh
Crude,Rural,Controlled,Age Category,40-64,Uttar Pradesh,67.5,64.7,70.3,"67.5 (64.7, 70.3)",9,Uttar Pradesh
Crude,Rural,Treated,Age Category,65 plus,Uttar Pradesh,44.9,41,48.8,"44.9 (41, 48.8)",9,Uttar Pradesh
Crude,Rural,Controlled,Age Category,65 plus,Uttar Pradesh,72.9,69.6,76.1,"72.9 (69.6, 76.1)",9,Uttar Pradesh
Crude,Urban,Treated,Age Category,18-39,Uttar Pradesh,38.4,28.4,48.3,"38.4 (28.4, 48.3)",9,Uttar Pradesh
Crude,Urban,Controlled,Age Category,18-39,Uttar Pradesh,81.5,75.5,87.4,"81.5 (75.5, 87.4)",9,Uttar Pradesh
Crude,Urban,Treated,Age Category,40-64,Uttar Pradesh,62.4,56.7,68.1,"62.4 (56.7, 68.1)",9,Uttar Pradesh
Crude,Urban,Controlled,Age Category,40-64,Uttar Pradesh,53.3,48.8,57.7,"53.3 (48.8, 57.7)",9,Uttar Pradesh
Crude,Urban,Treated,Age Category,65 plus,Uttar Pradesh,66.1,59.1,73.2,"66.1 (59.1, 73.2)",9,Uttar Pradesh
Crude,Urban,Controlled,Age Category,65 plus,Uttar Pradesh,55.4,49.1,61.7,"55.4 (49.1, 61.7)",9,Uttar Pradesh
Crude,Rural,Treated,Age Category,18-39,Bihar,26.7,21.5,31.9,"26.7 (21.5, 31.9)",10,Bihar
Crude,Rural,Controlled,Age Category,18-39,Bihar,88.1,84.6,91.6,"88.1 (84.6, 91.6)",10,Bihar
Crude,Rural,Treated,Age Category,40-64,Bihar,51.5,47.8,55.2,"51.5 (47.8, 55.2)",10,Bihar
Crude,Rural,Controlled,Age Category,40-64,Bihar,62.3,59,65.6,"62.3 (59, 65.6)",10,Bihar
Crude,Rural,Treated,Age Category,65 plus,Bihar,53,48.1,57.9,"53 (48.1, 57.9)",10,Bihar
Crude,Rural,Controlled,Age Category,65 plus,Bihar,70.3,66,74.7,"70.3 (66, 74.7)",10,Bihar
Crude,Urban,Treated,Age Category,18-39,Bihar,29.6,19.6,39.6,"29.6 (19.6, 39.6)",10,Bihar
Crude,Urban,Controlled,Age Category,18-39,Bihar,76.9,66.7,87.1,"76.9 (66.7, 87.1)",10,Bihar
Crude,Urban,Treated,Age Category,40-64,Bihar,62.5,53.9,71.1,"62.5 (53.9, 71.1)",10,Bihar
Crude,Urban,Controlled,Age Category,40-64,Bihar,52.9,45.5,60.2,"52.9 (45.5, 60.2)",10,Bihar
Crude,Urban,Treated,Age Category,65 plus,Bihar,60.5,49.7,71.3,"60.5 (49.7, 71.3)",10,Bihar
Crude,Urban,Controlled,Age Category,65 plus,Bihar,64,54.6,73.4,"64 (54.6, 73.4)",10,Bihar
Crude,Rural,Treated,Age Category,18-39,Sikkim,50.1,32,68.3,"50.1 (32, 68.3)",11,Sikkim
Crude,Rural,Controlled,Age Category,18-39,Sikkim,70.2,53.5,86.9,"70.2 (53.5, 86.9)",11,Sikkim
Crude,Rural,Treated,Age Category,40-64,Sikkim,66.4,55.2,77.5,"66.4 (55.2, 77.5)",11,Sikkim
Crude,Rural,Controlled,Age Category,40-64,Sikkim,57.1,46.8,67.5,"57.1 (46.8, 67.5)",11,Sikkim
Crude,Rural,Treated,Age Category,65 plus,Sikkim,75.4,60.1,90.8,"75.4 (60.1, 90.8)",11,Sikkim
Crude,Rural,Controlled,Age Category,65 plus,Sikkim,45.3,28.3,62.2,"45.3 (28.3, 62.2)",11,Sikkim
Crude,Urban,Treated,Age Category,18-39,Sikkim,47.5,10.1,84.8,"47.5 (10.1, 84.8)",11,Sikkim
Crude,Urban,Controlled,Age Category,18-39,Sikkim,88.3,72.9,103.7,"88.3 (72.9, 103.7)",11,Sikkim
Crude,Urban,Treated,Age Category,40-64,Sikkim,73,56.1,89.8,"73 (56.1, 89.8)",11,Sikkim
Crude,Urban,Controlled,Age Category,40-64,Sikkim,29.9,9.6,50.1,"29.9 (9.6, 50.1)",11,Sikkim
Crude,Urban,Treated,Age Category,65 plus,Sikkim,73.5,55.7,91.3,"73.5 (55.7, 91.3)",11,Sikkim
Crude,Urban,Controlled,Age Category,65 plus,Sikkim,54.7,26.9,82.5,"54.7 (26.9, 82.5)",11,Sikkim
Crude,Rural,Treated,Age Category,18-39,Arunachal Pradesh,20.9,12.2,29.6,"20.9 (12.2, 29.6)",12,Arunachal Pradesh
Crude,Rural,Controlled,Age Category,18-39,Arunachal Pradesh,90.2,85.6,94.7,"90.2 (85.6, 94.7)",12,Arunachal Pradesh
Crude,Rural,Treated,Age Category,40-64,Arunachal Pradesh,31.9,24.4,39.3,"31.9 (24.4, 39.3)",12,Arunachal Pradesh
Crude,Rural,Controlled,Age Category,40-64,Arunachal Pradesh,73.3,67.6,79.1,"73.3 (67.6, 79.1)",12,Arunachal Pradesh
Crude,Rural,Treated,Age Category,65 plus,Arunachal Pradesh,26.5,15.4,37.7,"26.5 (15.4, 37.7)",12,Arunachal Pradesh
Crude,Rural,Controlled,Age Category,65 plus,Arunachal Pradesh,70.9,59.4,82.5,"70.9 (59.4, 82.5)",12,Arunachal Pradesh
Crude,Urban,Treated,Age Category,18-39,Arunachal Pradesh,21.6,14.8,28.4,"21.6 (14.8, 28.4)",12,Arunachal Pradesh
Crude,Urban,Controlled,Age Category,18-39,Arunachal Pradesh,93.7,89.4,97.9,"93.7 (89.4, 97.9)",12,Arunachal Pradesh
Crude,Urban,Treated,Age Category,40-64,Arunachal Pradesh,43.1,34.2,51.9,"43.1 (34.2, 51.9)",12,Arunachal Pradesh
Crude,Urban,Controlled,Age Category,40-64,Arunachal Pradesh,73.7,66.6,80.8,"73.7 (66.6, 80.8)",12,Arunachal Pradesh
Crude,Urban,Treated,Age Category,65 plus,Arunachal Pradesh,57.9,33.9,81.9,"57.9 (33.9, 81.9)",12,Arunachal Pradesh
Crude,Urban,Controlled,Age Category,65 plus,Arunachal Pradesh,80.2,59.2,101.2,"80.2 (59.2, 101.2)",12,Arunachal Pradesh
Crude,Rural,Treated,Age Category,18-39,Nagaland,45.6,15.1,76.2,"45.6 (15.1, 76.2)",13,Nagaland
Crude,Rural,Controlled,Age Category,18-39,Nagaland,83.2,63.4,103.1,"83.2 (63.4, 103.1)",13,Nagaland
Crude,Rural,Treated,Age Category,40-64,Nagaland,51.6,40.6,62.6,"51.6 (40.6, 62.6)",13,Nagaland
Crude,Rural,Controlled,Age Category,40-64,Nagaland,53.9,40.5,67.2,"53.9 (40.5, 67.2)",13,Nagaland
Crude,Rural,Treated,Age Category,65 plus,Nagaland,47.3,24.1,70.5,"47.3 (24.1, 70.5)",13,Nagaland
Crude,Rural,Controlled,Age Category,65 plus,Nagaland,54.8,29.9,79.6,"54.8 (29.9, 79.6)",13,Nagaland
Crude,Urban,Treated,Age Category,18-39,Nagaland,31.9,10.8,52.9,"31.9 (10.8, 52.9)",13,Nagaland
Crude,Urban,Controlled,Age Category,18-39,Nagaland,78.1,59.3,96.8,"78.1 (59.3, 96.8)",13,Nagaland
Crude,Urban,Treated,Age Category,40-64,Nagaland,54.3,38.9,69.7,"54.3 (38.9, 69.7)",13,Nagaland
Crude,Urban,Controlled,Age Category,40-64,Nagaland,46.6,31.9,61.3,"46.6 (31.9, 61.3)",13,Nagaland
Crude,Urban,Treated,Age Category,65 plus,Nagaland,58.3,22.2,94.3,"58.3 (22.2, 94.3)",13,Nagaland
Crude,Urban,Controlled,Age Category,65 plus,Nagaland,55.2,23.6,86.8,"55.2 (23.6, 86.8)",13,Nagaland
Crude,Rural,Treated,Age Category,18-39,Manipur,23.8,10,37.6,"23.8 (10, 37.6)",14,Manipur
Crude,Rural,Controlled,Age Category,18-39,Manipur,75.6,60.9,90.3,"75.6 (60.9, 90.3)",14,Manipur
Crude,Rural,Treated,Age Category,40-64,Manipur,67.8,61.3,74.3,"67.8 (61.3, 74.3)",14,Manipur
Crude,Rural,Controlled,Age Category,40-64,Manipur,58.9,52,65.9,"58.9 (52, 65.9)",14,Manipur
Crude,Rural,Treated,Age Category,65 plus,Manipur,74.9,65,84.8,"74.9 (65, 84.8)",14,Manipur
Crude,Rural,Controlled,Age Category,65 plus,Manipur,57.4,47.5,67.2,"57.4 (47.5, 67.2)",14,Manipur
Crude,Urban,Treated,Age Category,18-39,Manipur,57.3,37.2,77.4,"57.3 (37.2, 77.4)",14,Manipur
Crude,Urban,Controlled,Age Category,18-39,Manipur,74.4,57.9,90.9,"74.4 (57.9, 90.9)",14,Manipur
Crude,Urban,Treated,Age Category,40-64,Manipur,73.7,67.6,79.9,"73.7 (67.6, 79.9)",14,Manipur
Crude,Urban,Controlled,Age Category,40-64,Manipur,52.7,44.5,60.9,"52.7 (44.5, 60.9)",14,Manipur
Crude,Urban,Treated,Age Category,65 plus,Manipur,78.6,69.7,87.6,"78.6 (69.7, 87.6)",14,Manipur
Crude,Urban,Controlled,Age Category,65 plus,Manipur,54.4,42.8,66,"54.4 (42.8, 66)",14,Manipur
Crude,Rural,Treated,Age Category,18-39,Mizoram,34.4,15.3,53.5,"34.4 (15.3, 53.5)",15,Mizoram
Crude,Rural,Controlled,Age Category,18-39,Mizoram,76.7,58.8,94.6,"76.7 (58.8, 94.6)",15,Mizoram
Crude,Rural,Treated,Age Category,40-64,Mizoram,63.3,53.4,73.2,"63.3 (53.4, 73.2)",15,Mizoram
Crude,Rural,Controlled,Age Category,40-64,Mizoram,70.1,58.8,81.3,"70.1 (58.8, 81.3)",15,Mizoram
Crude,Rural,Treated,Age Category,65 plus,Mizoram,71.2,58.9,83.5,"71.2 (58.9, 83.5)",15,Mizoram
Crude,Rural,Controlled,Age Category,65 plus,Mizoram,64.8,51,78.5,"64.8 (51, 78.5)",15,Mizoram
Crude,Urban,Treated,Age Category,18-39,Mizoram,41.2,22.3,60.2,"41.2 (22.3, 60.2)",15,Mizoram
Crude,Urban,Controlled,Age Category,18-39,Mizoram,72.6,57.1,88.1,"72.6 (57.1, 88.1)",15,Mizoram
Crude,Urban,Treated,Age Category,40-64,Mizoram,75.9,69.2,82.7,"75.9 (69.2, 82.7)",15,Mizoram
Crude,Urban,Controlled,Age Category,40-64,Mizoram,60.8,52,69.6,"60.8 (52, 69.6)",15,Mizoram
Crude,Urban,Treated,Age Category,65 plus,Mizoram,79.5,69.9,89.1,"79.5 (69.9, 89.1)",15,Mizoram
Crude,Urban,Controlled,Age Category,65 plus,Mizoram,69.1,58.5,79.8,"69.1 (58.5, 79.8)",15,Mizoram
Crude,Rural,Treated,Age Category,18-39,Tripura,44.4,34.2,54.5,"44.4 (34.2, 54.5)",16,Tripura
Crude,Rural,Controlled,Age Category,18-39,Tripura,63,54,71.9,"63 (54, 71.9)",16,Tripura
Crude,Rural,Treated,Age Category,40-64,Tripura,63.4,57.2,69.7,"63.4 (57.2, 69.7)",16,Tripura
Crude,Rural,Controlled,Age Category,40-64,Tripura,52.1,45.6,58.6,"52.1 (45.6, 58.6)",16,Tripura
Crude,Rural,Treated,Age Category,65 plus,Tripura,63.1,52.4,73.9,"63.1 (52.4, 73.9)",16,Tripura
Crude,Rural,Controlled,Age Category,65 plus,Tripura,58.4,46.8,70,"58.4 (46.8, 70)",16,Tripura
Crude,Urban,Treated,Age Category,18-39,Tripura,74.5,55.7,93.2,"74.5 (55.7, 93.2)",16,Tripura
Crude,Urban,Controlled,Age Category,18-39,Tripura,51.2,28.6,73.8,"51.2 (28.6, 73.8)",16,Tripura
Crude,Urban,Treated,Age Category,40-64,Tripura,82.9,76.2,89.5,"82.9 (76.2, 89.5)",16,Tripura
Crude,Urban,Controlled,Age Category,40-64,Tripura,59.2,49.1,69.4,"59.2 (49.1, 69.4)",16,Tripura
Crude,Urban,Treated,Age Category,65 plus,Tripura,84.6,71.9,97.3,"84.6 (71.9, 97.3)",16,Tripura
Crude,Urban,Controlled,Age Category,65 plus,Tripura,57,43.1,70.9,"57 (43.1, 70.9)",16,Tripura
Crude,Rural,Treated,Age Category,18-39,Meghalaya,26.1,14.4,37.7,"26.1 (14.4, 37.7)",17,Meghalaya
Crude,Rural,Controlled,Age Category,18-39,Meghalaya,95.8,91.3,100.2,"95.8 (91.3, 100.2)",17,Meghalaya
Crude,Rural,Treated,Age Category,40-64,Meghalaya,55.2,41.8,68.6,"55.2 (41.8, 68.6)",17,Meghalaya
Crude,Rural,Controlled,Age Category,40-64,Meghalaya,71.1,58.1,84.2,"71.1 (58.1, 84.2)",17,Meghalaya
Crude,Rural,Treated,Age Category,65 plus,Meghalaya,68,49.8,86.2,"68 (49.8, 86.2)",17,Meghalaya
Crude,Rural,Controlled,Age Category,65 plus,Meghalaya,61.3,45,77.5,"61.3 (45, 77.5)",17,Meghalaya
Crude,Urban,Treated,Age Category,18-39,Meghalaya,70.1,43.9,96.2,"70.1 (43.9, 96.2)",17,Meghalaya
Crude,Urban,Controlled,Age Category,18-39,Meghalaya,79.3,53,105.5,"79.3 (53, 105.5)",17,Meghalaya
Crude,Urban,Treated,Age Category,40-64,Meghalaya,66.8,52.2,81.4,"66.8 (52.2, 81.4)",17,Meghalaya
Crude,Urban,Controlled,Age Category,40-64,Meghalaya,63.7,42.3,85.2,"63.7 (42.3, 85.2)",17,Meghalaya
Crude,Urban,Treated,Age Category,65 plus,Meghalaya,85.8,60.2,111.4,"85.8 (60.2, 111.4)",17,Meghalaya
Crude,Urban,Controlled,Age Category,65 plus,Meghalaya,69.7,45.9,93.5,"69.7 (45.9, 93.5)",17,Meghalaya
Crude,Rural,Treated,Age Category,18-39,Assam,35.6,29.7,41.6,"35.6 (29.7, 41.6)",18,Assam
Crude,Rural,Controlled,Age Category,18-39,Assam,79.7,74.8,84.6,"79.7 (74.8, 84.6)",18,Assam
Crude,Rural,Treated,Age Category,40-64,Assam,64.6,60.4,68.7,"64.6 (60.4, 68.7)",18,Assam
Crude,Rural,Controlled,Age Category,40-64,Assam,56.1,52.3,59.9,"56.1 (52.3, 59.9)",18,Assam
Crude,Rural,Treated,Age Category,65 plus,Assam,69.6,63.8,75.5,"69.6 (63.8, 75.5)",18,Assam
Crude,Rural,Controlled,Age Category,65 plus,Assam,63.4,56.7,70.1,"63.4 (56.7, 70.1)",18,Assam
Crude,Urban,Treated,Age Category,18-39,Assam,47,31.4,62.6,"47 (31.4, 62.6)",18,Assam
Crude,Urban,Controlled,Age Category,18-39,Assam,79.5,67.7,91.4,"79.5 (67.7, 91.4)",18,Assam
Crude,Urban,Treated,Age Category,40-64,Assam,70,62.6,77.4,"70 (62.6, 77.4)",18,Assam
Crude,Urban,Controlled,Age Category,40-64,Assam,54,46.6,61.3,"54 (46.6, 61.3)",18,Assam
Crude,Urban,Treated,Age Category,65 plus,Assam,75.4,66.9,84,"75.4 (66.9, 84)",18,Assam
Crude,Urban,Controlled,Age Category,65 plus,Assam,64,54.9,73.2,"64 (54.9, 73.2)",18,Assam
Crude,Rural,Treated,Age Category,18-39,West Bengal,58.9,50.8,67.1,"58.9 (50.8, 67.1)",19,West Bengal
Crude,Rural,Controlled,Age Category,18-39,West Bengal,65,57.3,72.7,"65 (57.3, 72.7)",19,West Bengal
Crude,Rural,Treated,Age Category,40-64,West Bengal,75,70.2,79.9,"75 (70.2, 79.9)",19,West Bengal
Crude,Rural,Controlled,Age Category,40-64,West Bengal,48.7,43.8,53.7,"48.7 (43.8, 53.7)",19,West Bengal
Crude,Rural,Treated,Age Category,65 plus,West Bengal,82,74.9,89.1,"82 (74.9, 89.1)",19,West Bengal
Crude,Rural,Controlled,Age Category,65 plus,West Bengal,52.5,43.3,61.8,"52.5 (43.3, 61.8)",19,West Bengal
Crude,Urban,Treated,Age Category,18-39,West Bengal,69.6,58.3,80.9,"69.6 (58.3, 80.9)",19,West Bengal
Crude,Urban,Controlled,Age Category,18-39,West Bengal,63.1,51.5,74.7,"63.1 (51.5, 74.7)",19,West Bengal
Crude,Urban,Treated,Age Category,40-64,West Bengal,86.3,82.7,90,"86.3 (82.7, 90)",19,West Bengal
Crude,Urban,Controlled,Age Category,40-64,West Bengal,48.4,43,53.9,"48.4 (43, 53.9)",19,West Bengal
Crude,Urban,Treated,Age Category,65 plus,West Bengal,85.6,78.8,92.4,"85.6 (78.8, 92.4)",19,West Bengal
Crude,Urban,Controlled,Age Category,65 plus,West Bengal,61.8,53.8,69.8,"61.8 (53.8, 69.8)",19,West Bengal
Crude,Rural,Treated,Age Category,18-39,Jharkhand,16,10,22,"16 (10, 22)",20,Jharkhand
Crude,Rural,Controlled,Age Category,18-39,Jharkhand,94.4,91.3,97.6,"94.4 (91.3, 97.6)",20,Jharkhand
Crude,Rural,Treated,Age Category,40-64,Jharkhand,43.8,37,50.6,"43.8 (37, 50.6)",20,Jharkhand
Crude,Rural,Controlled,Age Category,40-64,Jharkhand,68.9,63.6,74.3,"68.9 (63.6, 74.3)",20,Jharkhand
Crude,Rural,Treated,Age Category,65 plus,Jharkhand,44.9,37,52.8,"44.9 (37, 52.8)",20,Jharkhand
Crude,Rural,Controlled,Age Category,65 plus,Jharkhand,74.9,68.7,81,"74.9 (68.7, 81)",20,Jharkhand
Crude,Urban,Treated,Age Category,18-39,Jharkhand,15.2,7.7,22.7,"15.2 (7.7, 22.7)",20,Jharkhand
Crude,Urban,Controlled,Age Category,18-39,Jharkhand,89.9,84.2,95.6,"89.9 (84.2, 95.6)",20,Jharkhand
Crude,Urban,Treated,Age Category,40-64,Jharkhand,56.6,47.2,65.9,"56.6 (47.2, 65.9)",20,Jharkhand
Crude,Urban,Controlled,Age Category,40-64,Jharkhand,65.4,58.8,72,"65.4 (58.8, 72)",20,Jharkhand
Crude,Urban,Treated,Age Category,65 plus,Jharkhand,70.8,60.9,80.7,"70.8 (60.9, 80.7)",20,Jharkhand
Crude,Urban,Controlled,Age Category,65 plus,Jharkhand,58.2,47.4,68.9,"58.2 (47.4, 68.9)",20,Jharkhand
Crude,Rural,Treated,Age Category,18-39,Odisha,42.7,33.6,51.8,"42.7 (33.6, 51.8)",21,Odisha
Crude,Rural,Controlled,Age Category,18-39,Odisha,73.4,66.5,80.2,"73.4 (66.5, 80.2)",21,Odisha
Crude,Rural,Treated,Age Category,40-64,Odisha,70.2,65.1,75.2,"70.2 (65.1, 75.2)",21,Odisha
Crude,Rural,Controlled,Age Category,40-64,Odisha,53.5,49.5,57.5,"53.5 (49.5, 57.5)",21,Odisha
Crude,Rural,Treated,Age Category,65 plus,Odisha,76.3,71.5,81.2,"76.3 (71.5, 81.2)",21,Odisha
Crude,Rural,Controlled,Age Category,65 plus,Odisha,59.2,54.2,64.2,"59.2 (54.2, 64.2)",21,Odisha
Crude,Urban,Treated,Age Category,18-39,Odisha,61.5,45,78,"61.5 (45, 78)",21,Odisha
Crude,Urban,Controlled,Age Category,18-39,Odisha,67.6,55.2,80,"67.6 (55.2, 80)",21,Odisha
Crude,Urban,Treated,Age Category,40-64,Odisha,84,78.8,89.3,"84 (78.8, 89.3)",21,Odisha
